2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'cu2101'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'hc2101'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'ni2101'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'pb2101'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'rb2101'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'al2108'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'au2011'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'bu2102'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'cu2108'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'hc2108'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'ni2108'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'pb2108'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'rb2108'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'ru2108'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'sn2108'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'sp2108'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'wr2108'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'zn2108'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'T2106'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'TF2106'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'TS2106'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'ag2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'al2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'au2110'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'bu2209'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'cu2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'hc2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'ni2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'pb2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'rb2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'ru2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'sn2109'} 
2020-11-08 00:11:34 || b'044392'.td || OnRspSubMarketData || {'InstrumentID': b'sp2109'} 
